,Volume_TSLA,Percent_Day_Change_SPY,Volume_SPY,tweet_counts,Percent_Day_Change_TSLA_encode
14,8598134.0,0.2793575622031197,9861088.0,90.0,0
15,3846857.0,-0.28927876161460864,7274648.0,49.0,0
16,3879996.0,0.1321673124193845,5452042.0,36.0,1
17,1960785.0,0.025752236112119853,3494109.0,27.0,0
18,2038975.0,-0.004288751769598864,6397705.0,27.0,0
19,2175368.0,-0.017162290839078942,4923922.0,19.0,0
20,2221688.0,0.19099437049920895,8914764.0,21.0,1
21,6835874.0,0.1683806976543023,14141159.0,42.0,1
22,2512527.0,-0.07660401051248211,5333947.0,18.0,0
23,1479143.0,-0.021296018359417968,7350672.0,24.0,1
24,3527066.0,-0.5452720210958661,6648527.0,27.0,0
25,1685170.0,0.3662266291477368,7899098.0,24.0,1
26,2549845.0,-0.04697918376599386,4844305.0,21.0,0
27,2435693.0,0.049113839310144236,11268430.0,15.0,1
28,16338270.0,-0.048699716275735216,9485737.0,95.0,1
29,4594510.0,-0.02982383456880955,4826312.0,129.0,0
30,2091728.0,-0.13426355264195555,3767028.0,76.0,0
31,1730535.0,0.05228179627696505,3983739.0,53.0,1
32,2147664.0,0.024526541095726277,3299029.0,42.0,0
33,1513944.0,0.027721956069037827,4786041.0,43.0,1
34,3432062.0,-0.02558095007726413,9900616.0,38.0,0
35,20541403.0,-0.4517163308835781,15361838.0,25.0,0
36,5745896.0,-0.10916304629696727,6558876.0,34.0,0
37,8760554.0,-0.0557082480772797,5655536.0,119.0,0
38,6710922.0,0.0364449537577638,4472535.0,57.0,0
39,5610352.0,0.023579208775936774,5805421.0,78.0,1
40,5163438.0,0.027857393685781773,4032606.0,88.0,0
41,5229085.0,0.12210692298790793,6253750.0,59.0,0
42,16659921.0,0.28996222828536755,9887182.0,50.0,1
43,4909510.0,-0.042829052018511504,5026098.0,82.0,0
44,2861072.0,-0.13918348608795705,4331091.0,64.0,0
45,3492110.0,-0.2209918488180307,8127502.0,40.0,0
46,2830500.0,-0.4870410042603246,11577951.0,28.0,0
47,6051992.0,0.2204018059970947,13990184.0,39.0,1
48,4117217.0,-0.040957232030647266,12004330.0,37.0,1
49,10058156.0,-0.2042049196926743,8587013.0,36.0,0
50,3274931.0,0.03698184011540207,5942026.0,35.0,1
51,2060320.0,-0.04198852944342635,3552010.0,32.0,0
52,1687918.0,0.010767893454910473,2250929.0,27.0,0
53,1629162.0,0.034463494495806664,2880931.0,38.0,1
54,1619352.0,-0.03014106174600295,3231262.0,24.0,0
55,1359666.0,-0.10123227835333592,5918338.0,24.0,0
56,6696872.0,-0.1332978852116029,7429684.0,51.0,0
57,3063932.0,0.4994460308425319,7032654.0,49.0,0
58,3734140.0,0.07519079615494473,5078236.0,45.0,0
59,3202101.0,-0.10916119184084527,3597144.0,54.0,0
60,2664521.0,-0.031075390978052564,3937415.0,49.0,0
61,2395093.0,0.15861578811893207,4898959.0,35.0,1
62,2741470.0,-0.003206705057001713,13426604.0,35.0,1
84,8587013.0,-0.2042049196926743,8587013.0,36.0,0
85,5942026.0,0.03698184011540207,5942026.0,35.0,1
86,3552010.0,-0.04198852944342635,3552010.0,32.0,0
87,2250929.0,0.010767893454910473,2250929.0,27.0,1
88,2880931.0,0.034463494495806664,2880931.0,38.0,1
89,3231262.0,-0.03014106174600295,3231262.0,24.0,0
90,5918338.0,-0.10123227835333592,5918338.0,24.0,0
91,7429684.0,-0.1332978852116029,7429684.0,51.0,0
92,7032654.0,0.4994460308425319,7032654.0,49.0,1
93,5078236.0,0.07519079615494473,5078236.0,45.0,1
94,3597144.0,-0.10916119184084527,3597144.0,54.0,0
95,3937415.0,-0.031075390978052564,3937415.0,49.0,0
96,4898959.0,0.15861578811893207,4898959.0,35.0,1
97,13426604.0,-0.003206705057001713,13426604.0,35.0,0
